pincode,postal_code,locality,city,statename,,
110001,DL1008,Akbar Road,Delhi,Delhi,,
110001,DL0016,Albert Square,Delhi,Delhi,,
110001,DL0064,Atul Grove Rd,Delhi,Delhi,,
110001,DL0076,Baba Kharak Singh Marg,Delhi,Delhi,,
110001,DL0077,Babar Rd,Delhi,Delhi,,
110001,DL0091,Bangla Sahib Rd,Delhi,Delhi,,
110001,DL0099,Barakhamba Avenue,Delhi,Delhi,,
110001,DL0100,Barakhamba Lane,Delhi,Delhi,,
110001,DL0101,Barakhamba Rd,Delhi,Delhi,,
110001,DL0109,Bazar Lane,Delhi,Delhi,,
110001,DL0111,Bengali Market,Delhi,Delhi,,
110001,DL0114,Bhagat Singh Marg,Delhi,Delhi,,
110001,DL0115,Bhagat Singh Market,Delhi,Delhi,,
110001,DL0118,Bhai Vir Singh Marg,Delhi,Delhi,,
110001,DL0135,Bishambar Das Marg,Delhi,Delhi,,
110001,DL0182,Connaught Circus,Delhi,Delhi,,
110001,DL0183,Connaught Place,Delhi,Delhi,,
110001,DL0184,Copernicus Marg,Delhi,Delhi,,
110001,DL0185,Curzon Rd,Delhi,Delhi,,
110001,DL0200,Dealer Dent Paint,Delhi,Delhi,,
110001,DL0187,Deen Dayal Upadhyaya Marg,Delhi,Delhi,,
110001,DL1009,Des Loc-7,Delhi,Delhi,,
110001,DL0219,Doctors Lane,Delhi,Delhi,,
110001,DL0251,Feroze Shah Rd,Delhi,Delhi,,
110001,DL0252,Fire Brigade Lane,Delhi,Delhi,,
110001,DL0290,Gole Dakhana,Delhi,Delhi,,
110001,DL0291,Gole Market,Delhi,Delhi,,
110001,DL0356,Jantar Mantar Rd,Delhi,Delhi,,
110001,DL0386,Kali Bari Marg,Delhi,Delhi,,
110001,DL0404,Kasturba Gandhi Marg,Delhi,Delhi,,
110001,DL0441,Ladakh Buddha Vihar,Delhi,Delhi,,
110001,DL0442,Ladha Sarai,Delhi,Delhi,,
110001,DL0486,Mansarover Park Shahdara ,Delhi,Delhi,,
110001,DL0939,Ne Dealer Dent Paint,Delhi,Delhi,,
110001,DL0940,Nw Dealer Dent Paint,Delhi,Delhi,,
110001,DL0610,Officers Enclave,Delhi,Delhi,,
110001,DL0642,Parliament Street,Delhi,Delhi,,
110001,DL0674,Punchkuian Rd,Delhi,Delhi,,
110001,DL0757,Sardar Patel Marg,Delhi,Delhi,,
110001,DL0938,Se Dealer Dent Paint,Delhi,Delhi,,
110001,DL0800,Shastri Bhavan,Delhi,Delhi,,
110001,DL0882,Tolstoy Marg,Delhi,Delhi,,
110001,DL0900,Vayu Bhavan,Delhi,Delhi,,
110001,DL0931,Windsor Place,Delhi,Delhi,,
110002,DL0014,Ajmeri Gate,Delhi,Delhi,,
110002,DL0034,Ansari Rd,Delhi,Delhi,,
110002,DL0048,Asaf Ali Road,Delhi,Delhi,,
