pincode,postal_code,locality,city,statename
110001,DL0610,OFFICERS ENCLAVE,DELHI,DELHI
110001,DL0642,PARLIAMENT STREET,DELHI,DELHI
110001,DL0674,PUNCHKUIAN RD,DELHI,DELHI
110001,DL0757,SARDAR PATEL MARG,DELHI,DELHI
110001,DL0200,DEALER DENT PAINT,DELHI,DELHI
110001,DL0219,DOCTORS LANE,DELHI,DELHI
110001,DL0251,FEROZE SHAH RD,DELHI,DELHI
110001,DL0252,FIRE BRIGADE LANE,DELHI,DELHI
110001,DL0290,GOLE DAKHANA,DELHI,DELHI
110001,DL0291,GOLE MARKET,DELHI,DELHI
110001,DL0356,JANTAR MANTAR RD,DELHI,DELHI
110001,DL0386,KALI BARI MARG,DELHI,DELHI
110001,DL0404,KASTURBA GANDHI MARG,DELHI,DELHI
110001,DL0441,LADAKH BUDDHA VIHAR,DELHI,DELHI
110001,DL0442,LADHA SARAI,DELHI,DELHI
110001,DL0486,MANSAROVER PARK SHAHDARA,DELHI,DELHI
110001,DL0135,BISHAMBAR DAS MARG,DELHI,DELHI
110001,DL0182,CONNAUGHT CIRCUS,DELHI,DELHI
110001,DL0183,CONNAUGHT PLACE,DELHI,DELHI
110001,DL0184,COPERNICUS MARG,DELHI,DELHI
110001,DL0185,CURZON RD,DELHI,DELHI
110001,DL0882,TOLSTOY MARG,DELHI,DELHI
110001,DL0800,SHASTRI BHAVAN,DELHI,DELHI
110001,DL1009,DES LOC 7,DELHI,DELHI
110001,DL0931,WINDSOR PLACE,DELHI,DELHI
110001,DL0016,ALBERT SQUARE,DELHI,DELHI
110001,DL0064,ATUL GROVE RD,DELHI,DELHI
110001,DL0076,BABA KHARAK SINGH MARG,DELHI,DELHI
110001,DL0077,BABAR RD,DELHI,DELHI
110001,DL0091,BANGLA SAHIB RD,DELHI,DELHI
110001,DL0099,BARAKHAMBA AVENUE,DELHI,DELHI
110001,DL0100,BARAKHAMBA LANE,DELHI,DELHI
110001,DL0101,BARAKHAMBA RD,DELHI,DELHI
110001,DL0109,BAZAR LANE,DELHI,DELHI
110001,DL0111,BENGALI MARKET,DELHI,DELHI
110001,DL0114,BHAGAT SINGH MARG,DELHI,DELHI
110001,DL0115,BHAGAT SINGH MARKET,DELHI,DELHI
110001,DL0118,BHAI VIR SINGH MARG,DELHI,DELHI
110001,DL0938,SE DEALER DENT PAINT,DELHI,DELHI
110001,DL0939,NE DEALER DENT PAINT,DELHI,DELHI
110001,DL0940,NW DEALER DENT PAINT,DELHI,DELHI
110001,DL0187,DEEN DAYAL UPADHYAYA MARG,DELHI,DELHI
110001,DL0900,VAYU BHAVAN,DELHI,DELHI
110001,DL1008,AKBAR ROAD,DELHI,DELHI
110001,DL0016,ALBERT SQUARE,DELHI,DELHI
110001,DL0064,ATUL GROVE RD,DELHI,DELHI
110001,DL0076,BABA KHARAK SINGH MARG,DELHI,DELHI
110001,DL0077,BABAR RD,DELHI,DELHI
110001,DL0091,BANGLA SAHIB RD,DELHI,DELHI
110001,DL0099,BARAKHAMBA AVENUE,DELHI,DELHI
110001,DL0100,BARAKHAMBA LANE,DELHI,DELHI
110001,DL0101,BARAKHAMBA RD,DELHI,DELHI
110001,DL0109,BAZAR LANE,DELHI,DELHI
110001,DL0111,BENGALI MARKET,DELHI,DELHI
110001,DL0114,BHAGAT SINGH MARG,DELHI,DELHI
110001,DL0115,BHAGAT SINGH MARKET,DELHI,DELHI
110001,DL0118,BHAI VIR SINGH MARG,DELHI,DELHI
110001,DL0135,BISHAMBAR DAS MARG,DELHI,DELHI
110001,DL0182,CONNAUGHT CIRCUS,DELHI,DELHI
110001,DL0183,CONNAUGHT PLACE,DELHI,DELHI
110001,DL0184,COPERNICUS MARG,DELHI,DELHI
110001,DL0185,CURZON RD,DELHI,DELHI
110001,DL0200,DEALER DENT PAINT,DELHI,DELHI
110001,DL1009,DES LOC-7,DELHI,DELHI
110001,DL0219,DOCTORS LANE,DELHI,DELHI
110001,DL0251,FEROZE SHAH RD,DELHI,DELHI
110001,DL0252,FIRE BRIGADE LANE,DELHI,DELHI
110001,DL0290,GOLE DAKHANA,DELHI,DELHI
110001,DL0291,GOLE MARKET,DELHI,DELHI
110001,DL0356,JANTAR MANTAR RD,DELHI,DELHI
110001,DL0386,KALI BARI MARG,DELHI,DELHI
110001,DL0396,KAPASERA,DELHI,DELHI
