pincode,locality,city,statename,
764045,Dudameta B.O,MALKANGIRI,ODISHA,
764044,Bhejaguda B.O,MALKANGIRI,ODISHA,
764044,Chaulmendi B.O,MALKANGIRI,ODISHA,
764044,Mendukuli B.O,MALKANGIRI,ODISHA,
764044,Pandripani B.O,MALKANGIRI,ODISHA,
764044,Markapalli B.O,MALKANGIRI,ODISHA,
764063,Baragam B.O,NABARANGPUR,ODISHA,
764063,Porsola B.O,NABARANGPUR,ODISHA,
764059,Baghsiuni B.O,NABARANGPUR,ODISHA,
764059,Bikrampur B.O,NABARANGPUR,ODISHA,
764059,Majhiguda B.O,NABARANGPUR,ODISHA,
764059,Mantriguda B.O,NABARANGPUR,ODISHA,
764059,Chikili B.O,NABARANGPUR,ODISHA,
764042,Ondrahal B.O,KORAPUT,ODISHA,
764071,Cherchata B.O,NABARANGPUR,ODISHA,
764071,Naktiguda B.O,NABARANGPUR,ODISHA,
764071,Ushigaon B.O,NABARANGPUR,ODISHA,
764003,Tankua B.O,KORAPUT,ODISHA,
764074,Bharsundi B.O,NABARANGPUR,ODISHA,
764074,Kurbeda B.O,NABARANGPUR,ODISHA,
764074,MUNDIBEDA B.O,NABARANGPUR,ODISHA,
764086,Chitrangpali B.O,MALKANGIRI,ODISHA,
764070,Mentri B.O,NABARANGPUR,ODISHA,
764073,Benara B.O,NABARANGPUR,ODISHA,
764073,Jamranda B.O,NABARANGPUR,ODISHA,
764073,Khanda B.O,NABARANGPUR,ODISHA,
764073,Murtuma B.O,NABARANGPUR,ODISHA,
764073,NEHURA B.O,NABARANGPUR,ODISHA,
764055,Haradaput B.O,KORAPUT,ODISHA,
764027,Jabaguda B.O,KORAPUT,ODISHA,
764027,Ranjiput B.O,KORAPUT,ODISHA,
764027,Kumbhaganda B.O,KORAPUT,ODISHA,
764027,Kutrabeda B.O,KORAPUT,ODISHA,
764057,Champapadar B.O,KORAPUT,ODISHA,
764057,Gumuda B.O,KORAPUT,ODISHA,
764056,Anchala B.O,KORAPUT,ODISHA,
764056,Gujaniguda B.O,KORAPUT,ODISHA,
764056,Hardoli B.O,KORAPUT,ODISHA,
764056,Panasaguda B.O,KORAPUT,ODISHA,
764056,Porli B.O,KORAPUT,ODISHA,
764056,Pujariput B.O,KORAPUT,ODISHA,
764028,Murkur B.O,KORAPUT,ODISHA,
765013,Bilangsil B.O,KORAPUT,ODISHA,
765013,Burja B.O,KORAPUT,ODISHA,
765013,Munjanga B.O,KORAPUT,ODISHA,
765013,Pipalpadar B.O,KORAPUT,ODISHA,
764037,Kumargandhana B.O,KORAPUT,ODISHA,
764037,Subai B.O,KORAPUT,ODISHA,
764021,A.Malkangiri B.O,KORAPUT,ODISHA,
764021,Mahadeiput B.O,KORAPUT,ODISHA,
764021,P.Phulbeda B.O,KORAPUT,ODISHA,
764021,Umuri B.O,KORAPUT,ODISHA,
764021,Manbar B.O,KORAPUT,ODISHA,
764038,Balda B.O,KORAPUT,ODISHA,
764038,Chatwa B.O,KORAPUT,ODISHA,
764038,Kularsingi B.O,KORAPUT,ODISHA,
764039,Peturu B.O,KORAPUT,ODISHA,
764036,Khudi B.O,KORAPUT,ODISHA,
764036,Sorisapadar B.O,KORAPUT,ODISHA,
765020,Janaballi B.O,RAYAGADA,ODISHA,
765019,Bethiapada B.O,RAYAGADA,ODISHA,
765019,Dumurineli B.O,RAYAGADA,ODISHA,
765019,Konabai B.O,RAYAGADA,ODISHA,
765019,Murtuli B.O,RAYAGADA,ODISHA,
765019,Patraguda B.O,RAYAGADA,ODISHA,
765019,Piskapanga B.O,RAYAGADA,ODISHA,
765033,Chalakamba B.O,RAYAGADA,ODISHA,
765033,Ghanatri B.O,RAYAGADA,ODISHA,
765033,Khaira B.O,RAYAGADA,ODISHA,
765026,Asada B.O,RAYAGADA,ODISHA,
765026,Siriguda B.O,RAYAGADA,ODISHA,
765022,Abada,RAYAGADA,ODISHA,
765017,B.Khillapadar B.O,RAYAGADA,ODISHA,
765017,Komtalpeta B.O,RAYAGADA,ODISHA,
765017,Birida B.O,RAYAGADA,ODISHA,
765016,Jaganathpur B.O,RAYAGADA,ODISHA,
765017,Bisipaska B.O,RAYAGADA,ODISHA,
765015,Dongasil B.O,RAYAGADA,ODISHA,
765015,Sankarada B.O,RAYAGADA,ODISHA,
765015,Tikiri B.O,RAYAGADA,ODISHA,
765015,Turaighati B.O,RAYAGADA,ODISHA,
765015,Talajhiri,RAYAGADA,ODISHA,
765015,Jalakhura B.O,RAYAGADA,ODISHA,
765020,Hatamuniguda B.O,RAYAGADA,ODISHA,
765020,Kutraguda B.O,RAYAGADA,ODISHA,
765020,T.Padar B.O,RAYAGADA,ODISHA,
765020,Daliakuji,RAYAGADA,ODISHA,
765020,Sarakima,RAYAGADA,ODISHA,
765020,Tamili B.O,RAYAGADA,ODISHA,
765020,Chutarigam B.O,RAYAGADA,ODISHA,
765025,Godiabandha B.O,RAYAGADA,ODISHA,
765025,Guluguda B.O,RAYAGADA,ODISHA,
765025,Karini B.O,RAYAGADA,ODISHA,
765025,Khambariguda B.O,RAYAGADA,ODISHA,
765025,Tembaguda BO,RAYAGADA,ODISHA,
765029,Hatikhamba B.O,RAYAGADA,ODISHA,
765029,Kondajam B.O,RAYAGADA,ODISHA,
765002,K.Gumma B.O,RAYAGADA,ODISHA,
765002,Sulava B.O,RAYAGADA,ODISHA,
765002,Bada Irukubadi,RAYAGADA,ODISHA,
765018,Dumuriguda B.O,RAYAGADA,ODISHA,
765024,Bichikote B.O,RAYAGADA,ODISHA,
762030,Barapadar B.O,BOUDH,ODISHA,
762030,Demuhani B.O,BOUDH,ODISHA,
762103,Bediketa B.O,KANDHAMAL,ODISHA,
762103,Gumikia B.O,KANDHAMAL,ODISHA,
762103,Parigada B.O,KANDHAMAL,ODISHA,
762103,Rutungia B.O,KANDHAMAL,ODISHA,
754250,Badagaon B.O,KENDRAPARA,ODISHA,
762021,Jhinjiriguda B.O,KANDHAMAL,ODISHA,
762021,Kasabasa B.O,KANDHAMAL,ODISHA,
762021,Tamangi B.O,KANDHAMAL,ODISHA,
